,objectid,cod_topo,n_policia,cp_4,cp_3,telf,url,mail,j_i,t_inst,agr,est,estat,carto_1000,cod_freg,planta,n_ordem,cod_sgr,cod_gis,foto,fax,data_reg,user_reg,n_eb1,n_prim,prop,cantina,descricao,fraccao,name,cod_giase,x,y
10,11,RRGRA0, ,0,0,228323732, , ,N,EB1,Amial,Activo,Público,I9,10,PLANTA\AZENHA_PLANTA.pdf,00008,1702,10170200008,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvwzwwg8g453&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23029142&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,228323732,1245628800000,josepaulo,21,47,Municipal,0,Bairro da Azenha,,Azenha,1312364,-8.611529377415076,41.179866152647335
11,12,AVCAB0, ,0,0,228323525, , ,S,EB1/JI,Amial,Activo,Público,I9,10,PLANTA\S_TOME_PLANTA.pdf,00009,1702,10170200009,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvwmtcg8g432&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23029282&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,20,46,Municipal,0,Bairro de S. Tomé,,S. Tomé,1312056,-8.611563519482448,41.17771633605708
12,13,RAAMI0, ,0,0,225506017, , ,S,EB1/JI,Amial,Activo,Público,I10,10,PLANTA\AGRA_PLANTA.pdf,00010,1702,10170200010,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvwfmvg8g75m&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23029260&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,49,123,Municipal,0,Bairro da Agra do Amial,,Agra,1312701,-8.61005620562864,41.17632595088096
13,14,RBVIA0,11,4150,140,226099094, , ,N,EB1,Gomes Teixeira,Activo,Público,C7,07,PLANTA\GOLGOTA_PLANTA.pdf,00001,1702,07170200001,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvr8m0g8df4j&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23033518&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,40,103,Municipal,0, ,,Gólgota,1312085,-8.634232322248335,41.14855421867669
14,15,RBAND0,32,4050,88,226094949, , ,S,JI,Miragaia,Activo,Público,B8,08,PLANTA\BANDEIRINHA_PLANTA.pdf,00001,1702,08170200001,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvqr6rg8fczm&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23033918&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,0,0, ,0, ,,Miragaia,0,-8.621407409178701,41.144988891778084
15,16,RBBOC0,68,4150,122,226001154, , ,N,EB1,Gomes Teixeira,Activo,Público,D7,07,PLANTA\BOM_SUCESSO_PLANTA.pdf,00002,1702,07170200002,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvs3t8g8dsbc&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23033371&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,38,97,Municipal,0, ,,Bom Sucesso,1312684,-8.629773793876529,41.15438159531659
16,17,RBBOC0,68,4150,122,226002340, , ,S,JI,Gomes Teixeira,Activo,Público,D7,07,PLANTA\BOM_SUCESSO_PLANTA.pdf,00003,1702,07170200003,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvs3t8g8dsbc&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23033371&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,0,0, ,0, ,,Massarelos,0,-8.630081189594074,41.15390918888361
17,18,PCALB0,53,4050,157,222073566, , ,S,JI,Gomes Teixeira,Activo,Público,C9,15,PLANTA\AINDA_NAO_DISPONIVEL.pdf,00001,1702,15170200001,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvrc3mg8ftf6&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23033852&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,0,0, ,0, ,,Vitória,1312148,-8.616072742202787,41.14903137569128
18,19,RDEGA0, ,4100,224,226173773, , ,S,EB1/JI,Viso,Activo,Público,G5,11,PLANTA\CAMPINAS_PLANTA.pdf,00004,1702,11170200004,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvvmrqg8c0mx&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23021331&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,54,145,Municipal,0,Bairro Engº Arantes Oliveira (Bairro das Campinas),,Campinas,1312125,-8.653207730265107,41.1707731359961
19,20,CVQAG0,294,4300,506,225102140, , ,S,EB1/JI,Dr. Augusto César Pires de Lima,Activo,Público,B11,02,PLANTA\CAMPO_24_AGOSTO_PLANTA.pdf,00003,1702,02170200003,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvr60cg8h3f6&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23043332&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,225102140,1245628800000,josepaulo,1,1,Junta de Freguesia do Bonfim,0, ,,Campo 24 de Agosto,0,-8.59843674355199,41.148056048733
20,21,RSOL_0, ,0,0,222059295, , ,S,EB1/JI,Dr. Augusto César Pires de Lima,Activo,Público,A10,14,PLANTA\SE_PLANTA.pdf,00001,1702,14170200001,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvqhcjg8gnhs&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23042873&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,25,65,Municipal,0, ,,Sé,1312396,-8.604445633075336,41.14306100847541
21,22,PCALB0,56,4050,157,222050911, , ,N,EB1,Miragaia,Activo,Público,C9,15,PLANTA\CARLOS_ALBERTO_PLANTA.pdf,00002,1702,15170200002,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvrc3mg8ftf6&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23033852&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,51,130,Junta de Freguesia da Vitória,0, ,,Carlos Alberto,1312920,-8.616035256445743,41.14913863774197
22,23,RICSM0, ,0,0,226005993, , ,S,EB1/JI,Rodrigues de Freitas,Activo,Público,D8,04,PLANTA\TORRINHA_PLANTA.pdf,00002,1702,04170200002,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvs2rkg8f6jr&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23033297&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,27,71,Municipal,0, ,,Torrinha,1312199,-8.623831626076575,41.154033857262654
23,24,RBAND0,32,4050,88,226094949, , ,N,EB1,Miragaia,Activo,Público,B8,08,PLANTA\BANDEIRINHA_PLANTA.pdf,00002,1702,08170200002,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvqr6rg8fczm&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23033918&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,42,107,Estado (Ex. Dir.do Distrito Escolar),0, ,,Bandeirinha,1312973,-8.621407409178701,41.144988891778084
24,25,CFVEL0,21,4050,271,222088091, , ,S,EB1/JI,Miragaia,Activo,Público,A9,13,PLANTA\AINDA_NAO_DISPONIVEL.pdf,00001,1702,13170200001,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvq4sbg8fpmt&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23042820&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,50,125,Municipal,0,"(constituida por duas partes, 50-A e 50-B, ligadas por uma passagem superior sobre o caminho público)",,S. Nicolau,1312405,-8.617589734810437,41.141335888218904
25,26,RCOND0,774,4150,221,226175457, ,info@eb1-porto-n35.rcts.pt,S,EB1/JI,Dr. Leonardo Coimbra Filho,Activo,Público,D5,06,PLANTA\LORDELO_PLANTA.pdf,00006,1702,06170200006,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvs1k9g8cczk&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23022148&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,35,91,Municipal,0, ,,Lordelo,1312974,-8.648213992354577,41.15373136044149
26,27,RRALV0, ,0,0,225020897, , ,S,EB1/JI,Antas,Activo,Público,E12,03,PLANTA\MONTE_AVENTINO_PLANTA.pdf,00002,1702,03170200002,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvt8xdg8j020&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23032208&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,22,50,Estado (Ex. Dir.do Distrito Escolar),0, ,,Monte Aventino,1312581,-8.586682422064298,41.16202307208651
27,28,RSPOU0,1329,4000,490,225028858, , ,S,JI,Augusto Gil,Activo,Público,E11,02,PLANTA\AINDA_NAO_DISPONIVEL.pdf,00001,1702,02170200001,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvt3vjg8h26w&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23032221&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,0,0, ,0, ,,Aurélia de Sousa,0,-8.599164768608777,41.16087730074464
28,29,PALEG0, ,0,0,225364238, , ,S,EB1/JI,Dr. Augusto César Pires de Lima,Activo,Público,A11,02,PLANTA\AINDA_NAO_DISPONIVEL.pdf,00002,1702,02170200002,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvqkbdg8h01r&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23043288&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,3,6,Municipal,0, ,,Alegria,1312354,-8.600066014156914,41.1439675179957
29,30,RSACO0,573,4350,290,225029294, , ,S,JI,Antas,Activo,Público,H13,03,PLANTA\AINDA_NAO_DISPONIVEL.pdf,00003,1702,03170200003,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvw07xg8jctb&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23032299&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,0,0, ,0, ,,Dó-Ré-Mi II,1312013,-8.581035792372912,41.17336782456017
30,31,RDBSJ0, ,0,0,225407254, , ,S,EB1/JI,Areosa,Activo,Público,I14,03,PLANTA\S_JOAO_DE_DEUS_PLANTA.pdf,00004,1702,03170200004,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvwph8g8k3q5&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23029996&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,58,15,Municipal,0,Bairro de S. João de Deus (até 2004 possuia também o 2º ciclo),,S. João de Deus,1312067,-8.57174025071977,41.177579205303225
31,32,RFALC0, ,0,0,225365713, , ,S,EB1/JI,Cerco,Activo,Público,E13,03,PLANTA\FALCAO_PLANTA.pdf,00005,1702,03170200005,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvsv2qg8jwzh&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23034360&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,7,17,Municipal,0, ,,Falcão,1312588,-8.574776643861156,41.15908387995104
32,33,RFALC0, ,0,0,225370437, , ,S,JI,Cerco,Activo,Público,E13,03,PLANTA\AINDA_NAO_DISPONIVEL.pdf,00006,1702,03170200006,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvsxpmg8jwjm&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23034360&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,0,0, ,0, ,,Dó-Ré-Mi I,1312240,-8.574992094047646,41.159480626650556
33,34,PCORU0,12,4300,144,225374168, , ,S,EB1/JI,Cerco,Activo,Público,D13,03,PLANTA\CORUJEIRA_PLANTA.pdf,00007,1702,03170200007,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvscp8g8jjb8&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23034391&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,6,32,Municipal,0, ,,Corujeira,1312478,-8.579518128661235,41.15604998627349
34,35,RFHPI0, ,0,0,225100909, , ,S,EB1/JI,Ramalho Ortigão,Activo,Público,B12,02,PLANTA\LOMBA_PLANTA.pdf,00004,1702,02170200004,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvr7ntg8hrms&style=b&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23034260&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,11,27,Municipal,0, ,,Lomba,1312431,-8.589724323660711,41.148208951361816
35,36,RPEMO0, ,0,0,225103226, , ,S,EB1/JI,Ramalho Ortigão,Activo,Público,D12,03,PLANTA\FLORES_PLANTA.pdf,00008,1702,03170200008,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvsc4rg8hs9s&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23034108&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,8,19,Municipal,0,(vereda interior),,Flores,1312579,-8.589580602378037,41.15584677141699
36,37,LNOED0,6,4300,352,225362872, , ,S,EB1/JI,Ramalho Ortigão,Activo,Público,B12,03,PLANTA\NOEDA_PLANTA.pdf,00009,1702,03170200009,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvqwkfg8j8rd&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23043109&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,14,33,Municipal,0, ,,Noeda,1312413,-8.582832059644792,41.145706869852766
37,38,RLAGA0, ,0,0,225303238, , ,S,EB1/JI,Ramalho Ortigão,Activo,Público,C14,03,PLANTA\LAGARTEIRO_PLANTA.pdf,00010,1702,03170200010,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvrzyfg8kbrp&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23034561&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,10,24,Municipal,0,Bairro do Lagarteiro,,Lagarteiro,1312264,-8.568502834558803,41.153136965365405
38,39,RJDEU0,395,4100,461,226098182,www.eb1-porto-n47.rcts.pt/,info@eb1-porto-n47.rcts.pt,N,EB1,Clara de Resende,Activo,Público,E7,06,PLANTA\JOAO_DE_DEUS_PLANTA.pdf,00001,1702,06170200001,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvt8dvg8d3zp&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23031228&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,226064175,1245628800000,josepaulo,47,117,Municipal,0, ,,João de Deus,1312819,-8.638366106938092,41.161880241531925
39,40,RPAME0, ,4100,45,226066212,www.eb1-ji-n-45-porto.rcts.pt/,info@eb1-ji-n-45-porto.rcts.pt,S,EB1/JI,Maria Lamas,Activo,Público,F6,11,PLANTA\PADRE_AMERICO_PLANTA.pdf,00002,1702,11170200002,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvtzghg8d11s&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23031121&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,45,114,Municipal,0,Bairro de Francos,,Padre Américo,1312815,-8.639661298118648,41.16660769905921
40,41,RESCO1,60,4150,299,226184759,www.eb1-porto-n43.rcts.pt/,info@eb1-porto-n43.rcts.pt,N,EB1,Francisco Torrinha,Activo,Público,E2,09,PLANTA\S_MIGUEL_NEVOGILDE_PLANTA.pdf,00001,1702,09170200001,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvsypzg88zn6&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23022788&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,43,111,Municipal,0, ,,S. Miguel de Nevogilde,1312257,-8.679913095078533,41.159600099162674
41,42,RHMOR0, ,4150,397,226154089,www.eb1-porto-n33.rcts.pt/,info@eb1-porto-n33.rcts.pt,N,EB1,Francisco Torrinha,Activo,Público,C3,05,PLANTA\S_JOAO_DA_FOZ_PLANTA.pdf,00001,1702,05170200001,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvrrnwg89qws&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23022413&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,33,88,Municipal,0, ,,S. João da Foz,1312501,-8.670342962864844,41.15184433709243
42,43,RPGAM0, ,4150,589,226181620,www.eb1-porto-n32.rcts.pt/,info@eb1-porto-n32.rcts.pt,S,EB1/JI,Francisco Torrinha,Activo,Público,C4,06,PLANTA\PAULO_DA_GAMA_PLANTA.pdf,00002,1702,06170200002,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvrhqvg8bdc0&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23022910&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,32,86,Municipal,0,Bairro Rainha D. Leonor,,Paulo da Gama,1312751,-8.661132574613326,41.14996541280469
43,44,RSOL_0, ,0,0,222059295, , ,S,JI,Dr. Augusto César Pires de Lima,Activo,Público,A10,14,PLANTA\SE_PLANTA.pdf,00002,1702,14170200002,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvqhcjg8gnhs&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23042873&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,0,0, ,0, ,,Sé,0,-8.604445633075336,41.14306100847541
44,45,RBORD0, ,0,0,226160188, , ,S,EB1/JI,Viso,Activo,Público,I6,11,PLANTA\VISO_PLANTA.pdf,00005,1702,11170200005,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvwr6zg8ck76&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23018608&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,37,95,Estado (Ex. Dir.do Distrito Escolar),0,Bairro do Viso,,Viso,1312122,-8.64570627644131,41.17827650115463
45,46,RCRUZ1, ,0,0,226164770, , ,S,EB1/JI,Viso,Activo,Público,H6,11,PLANTA\CRUZES_PLANTA.pdf,00006,1702,11170200006,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvw2ssg8cxpb&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23028814&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,44,113,Municipal,0, ,,Cruzes,1312096,-8.641079858675191,41.17393685111625
46,47,AVGAM0, ,0,0,226172814, , ,S,JI,Viso,Activo,Público,G5,11,PLANTA\AINDA_NAO_DISPONIVEL.pdf,00007,1702,11170200007,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvvfm0g8bx24&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23021331&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,0,0, ,0, ,,Ramalde,1312100,-8.654691126057205,41.16958481255368
47,48,RSCAM0, ,4350,320,225371264, , ,S,EB1/JI,Cerco,Activo,Público,F13,03,PLANTA\SRA_CAMPANHA_PLANTA.pdf,00013,1702,03170200013,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvttskg8jxty&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23033119&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,13,31,Municipal,0, ,,Sra de Campanhã,1312780,-8.574255345858973,41.16559190046392
48,49,RPLRO0, ,0,0,223322158, , ,S,JI,Irene Lisboa,Activo,Público,D9,04,PLANTA\AINDA_NAO_DISPONIVEL.pdf,00004,1702,04170200004,maps.live.com/default.aspx?v=2&FORM=LMLTCP&cp=qvsg93g8frpk&style=o&lvl=2&tilt=-90&dir=0&alt=-1000&scene=23033691&phx=0&phy=0&phscl=1&encType=1&cid=4D1EC098267D9D7C!103,0,1245628800000,josepaulo,0,0, ,0, ,,Miminho,1312625,-8.616398700427386,41.15660068909438
